INFO 2025-12-07 19:43:44,266 log 6174 131195894761152 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2025-12-07 19:43:44,278 log 6174 131195903153856 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2025-12-07 19:43:44,279 log 6174 131195673241280 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2025-12-07 19:43:46,281 log 6174 131195903153856 "GET /admin/expenses/expense/1/change/ HTTP/1.1" 200 14343
INFO 2025-12-07 19:43:46,305 log 6174 131195903153856 "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2025-12-07 19:43:46,308 log 6174 131195656455872 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2025-12-07 19:43:46,313 log 6174 131195894761152 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-12-07 19:43:46,323 log 6174 131195894761152 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2025-12-07 19:43:46,349 log 6174 131195903153856 "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2025-12-07 19:44:05,619 autoreload 6174 131195954278528 /home/fearless/Desktop/expense_tracker/expenses/admin.py changed, reloading.
INFO 2025-12-07 19:44:06,090 autoreload 6206 135612409778304 Watching for file changes with StatReloader
INFO 2025-12-07 20:42:52,863 autoreload 6825 137124013510784 Watching for file changes with StatReloader
